student_id,track,grade_level,academic_year,semester,gender,curriculum_relevance_rating,learning_pace_appropriateness,individual_support_availability,learning_style_accommodation,teaching_quality_rating,learning_environment_rating,peer_interaction_satisfaction,extracurricular_satisfaction,academic_progress_rating,skill_development_rating,critical_thinking_improvement,problem_solving_confidence,physical_safety_rating,psychological_safety_rating,bullying_prevention_effectiveness,emergency_preparedness_rating,mental_health_support_rating,stress_management_support,physical_health_support,overall_wellbeing_rating,overall_satisfaction,positive_aspects,improvement_suggestions,additional_comments,consent_given,ip_address,attendance_rate,grade_average,participation_score,extracurricular_hours,counseling_sessions,created_at,updated_at,learner_needs_index,satisfaction_score,success_index,safety_index,wellbeing_index
CSS-9935,CSS,11,2025-2026,1st Semester,Female,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Teachers are very supportive and understanding,Some improvements needed in teaching methods,The curriculum is relevant and well-structured,True,192.168.23.152,87.89,3.19,4,13,0,2025-10-12T15:10:03.956706,2025-10-12T15:10:03.956706,4.0,4.0,4.0,4.0,4.0
CSS-9928,CSS,11,2025-2026,1st Semester,Female,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,The curriculum is relevant and well-structured,Resources are adequate but not exceptional,Good balance between theory and practical work,True,192.168.108.57,88.84,3.39,4,14,2,2025-05-09T15:10:03.956706,2025-05-09T15:10:03.956706,4.0,4.0,4.0,4.25,4.0
CSS-6514,CSS,12,2025-2026,2nd Semester,Male,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,3,Satisfactory learning environment,Not enough practical hands-on experience,Feel overwhelmed and unsupported,True,192.168.27.24,84.52,1.4,3,12,0,2025-07-12T15:10:03.956706,2025-07-12T15:10:03.956706,2.75,3.0,2.25,3.0,2.5
CSS-7201,CSS,12,2025-2026,1st Semester,Prefer not to say,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,"Some good points, some areas for improvement",Limited support for struggling students,Need more individual support and attention,True,192.168.21.142,74.95,1.84,2,9,5,2025-08-01T15:10:03.956706,2025-08-01T15:10:03.956706,2.5,2.75,2.75,3.0,3.0
CSS-5741,CSS,11,2025-2026,1st Semester,Female,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,The program meets basic expectations,Need better mental health support services,Curriculum feels outdated and irrelevant,True,192.168.253.21,70.08,1.38,1,7,0,2025-10-07T15:10:03.956706,2025-10-07T15:10:03.956706,2.25,2.0,2.25,2.25,2.25
CSS-2169,CSS,12,2025-2026,1st Semester,Female,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,3,4,Some areas need improvement,It's fine but could be more engaging,Some areas need improvement,True,192.168.156.163,85.44,2.66,3,5,2,2025-08-07T15:10:03.956706,2025-08-07T15:10:03.956706,3.75,3.5,3.5,3.75,3.25
CSS-1916,CSS,11,2025-2026,2nd Semester,Female,4,4,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,It's fine but could be more engaging,Satisfactory learning environment,The program meets basic expectations,True,192.168.59.211,85.28,2.4,3,1,1,2025-07-03T15:10:03.956706,2025-07-03T15:10:03.956706,3.75,3.25,3.5,4.0,3.5
CSS-8517,CSS,11,2025-2026,2nd Semester,Male,4,4,3,4,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,3,4,Average experience overall,"Some good points, some areas for improvement",Some areas need improvement,True,192.168.37.68,87.0,2.5,3,4,0,2025-08-12T15:10:03.956706,2025-08-12T15:10:03.956706,3.75,3.25,3.5,4.0,3.25
CSS-3266,CSS,12,2025-2026,2nd Semester,Male,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,"Some good points, some areas for improvement",The program meets basic expectations,"Some good points, some areas for improvement",True,192.168.131.127,80.34,2.32,3,2,0,2025-09-22T15:10:03.956706,2025-09-22T15:10:03.956706,4.0,3.5,3.5,4.0,3.5
CSS-8668,CSS,11,2025-2026,2nd Semester,Male,3,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,Learning pace is okay but could be better,The program meets basic expectations,"Some good points, some areas for improvement",True,192.168.136.65,88.42,2.65,3,17,0,2025-05-30T15:10:03.956706,2025-05-30T15:10:03.956706,3.5,3.5,3.75,4.0,3.25
CSS-3591,CSS,12,2025-2026,1st Semester,Male,3,3,3,2,3,2,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,"Some good points, some areas for improvement",Not satisfied with the learning environment,Limited support for struggling students,True,192.168.117.1,75.85,2.22,2,8,4,2025-10-23T15:10:03.956706,2025-10-23T15:10:03.956706,2.75,2.5,2.75,3.25,3.0
CSS-3646,CSS,11,2025-2026,1st Semester,Male,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,Some improvements needed in teaching methods,Satisfactory learning environment,The program meets basic expectations,True,192.168.139.245,85.86,2.55,3,16,0,2025-06-16T15:10:03.956706,2025-06-16T15:10:03.956706,3.75,3.75,3.75,4.0,4.0
CSS-2290,CSS,12,2025-2026,1st Semester,Male,4,4,4,4,3,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,4,The curriculum could be more relevant to real-world applications,Some areas need improvement,Some areas need improvement,True,192.168.22.188,80.66,2.37,3,15,0,2025-10-02T15:10:03.956706,2025-10-02T15:10:03.956706,4.0,3.25,3.5,3.5,3.5
CSS-7932,CSS,11,2025-2026,2nd Semester,Female,2,3,3,3,3,3,3,3,3,2,3,2,3,4,3,3,3,2,2,2,3,Satisfactory learning environment,Resources and facilities need upgrading,Not satisfied with the learning environment,True,192.168.247.55,80.24,1.76,2,17,5,2025-09-15T15:10:03.956706,2025-09-15T15:10:03.956706,2.75,3.0,2.5,3.25,2.25
